id,naziv,adresa,pbroj,mesto,opstina,okrug,suprava,www,tel,fax,vrsta,odeljenja,gps
"ИД школе",Школа,Адреса,"Поштански број",Место,Општина,Округ,"Школска управа",Сајт,Телефон,Факс,"Тип школе","Број одељења","Географске координате
"
22,"Светозар Марковић","Хаџи Милентијева бр. 62",11000,Београд,Врачар,"Град Београд",Београд,http://ossmarkovic.edu.rs/,0112433025,0112448744,"Основна школа",30," 44.793829, 20.474400"
23,"Владислав Рибникар","Краља Милутина 10",11000,Београд,Врачар,"Град Београд",Београд,http://www.os-ribnikar.edu.rs,0113640166,0113640168,"Основна школа",44,"44.805955, 20.467669"
167,"Душан Дугалић","Ђердапска 19",11000,Београд,Врачар,"Град Београд",Београд,http://www.osdugalic.edu.rs,0112836769,0112836838,"Основна школа",17,"44.79298842452881,20.48565298318863"
175,"Др Драган Херцог","Војводе Миленка 33",11000,Београд,"Савски венац","Град Београд",Београд,http://www.osdrdraganhercog.edu.rs/,0113065188,0113065188,"Основна школа",63,"44.73892994307368,20.48126220703125"
4,"Змај Јова Јовановић","Мештровићева 19",11000,Београд,Вождовац,"Град Београд",Београд,http://www.zmajjova.znanje.info,0112463227,0112461244,"Основна школа",38,"44.770747423066176,20.490607023239136"
195,"Школа за основно образовање одраслих Ђуро Салај","Немањина 28",11000,Београд,"Савски венац","Град Београд",Београд,,0112659290,0112659290,"Основна школа",6,"44.80230885809218,20.460410714149475"
5,"Ђура Даничић",Мештровићева19а,11000,Београд,Вождовац,"Град Београд",Београд,http://www.osdjuradanicic.edu.rs/,0112462284,0112462284,"Основна школа",25,"44.742051385357186,20.4620361328125"
6,Карађорђе,"Јове Илића 2",11000,Београд,Вождовац,"Град Београд",Београд,http://www.karadjordje.edu.rs,0112467290,0112467290,"Основна школа",27,"44.784591703334144,20.46705186367035"
142,"Вук Караџић","Таковска бр. 41",11000,Београд,"Стари град","Град Београд",Београд,http://osnovnaskolavukkaradzic.edu.rs,0113221239,0113221239,"Основна школа",29,"44.814386828624336,20.47215074300766"
143,"Михаило Петровић Алас","Господар Јованова 22",11000,Београд,"Стари град","Град Београд",Београд,http://www.osmpalas.edu.rs/,0112623257,0112623257,"Основна школа",28,"45.42852773080358,20.235717790201306"
8,"Јанко Веселиновић","Умчарска 2",11000,Београд,Вождовац,"Град Београд",Београд,http://www.osjankoveselinovic.edu.rs,0112895812,0112895812,"Основна школа",37,"44.78631502486644,20.498450472950935"
144,"Стари град","Херцег Стјепана 7",11000,Београд,"Стари град","Град Београд",Београд,http://www.osstarigrad.com,0113391118,0113391118,"Основна школа",12,"44.821022736579955,20.470154508948326"
145,"Краљ Петар И","Краља Петра 7; Маршала Бирјузова 43",11000,Београд,"Стари град","Град Београд",Београд,http://www.oskraljpetarprvi.edu.rs,0112635420,0112637882,"Основна школа",22,"44.81843762490909,20.452852249145508"
